ac_number,constituency,region,district,winning_party_2021,winning_candidate_2021,winning_party_2026,winning_candidate_2026,total_votes_2021,total_votes_2026,Flipped?,winning_party_alliance_2021,winning_party_alliance_2026
1,Gummidipundi,Chennai Metro,Tiruvallur,DMK,GOVINDARAJAN T.J,TVK,S.VIJAYAKUMAR,126452,94320,Yes,DMK+,TVK
2,Ponneri,Chennai Metro,Tiruvallur,INC,DURAI. CHANDRASEKAR,TVK,DR.RAVI.M.S,94528,110439,Yes,DMK+,TVK
3,Tiruttani,Chennai Metro,Tiruvallur,DMK,S.Chandran,AIADMK,G.HARI,120314,89169,Yes,DMK+,AIADMK+
4,Thiruvallur,Chennai Metro,Tiruvallur,DMK,"RAAJENDRAN, V.G.",TVK,DR. T. ARUNKUMAR,107709,92190,Yes,DMK+,TVK
5,Poonamallee,Chennai Metro,Tiruvallur,DMK,Krishnaswamy A,TVK,PRAKASAM.R,149578,161309,Yes,DMK+,TVK
6,Avadi,Chennai Metro,Tiruvallur,DMK,Nasar S M,TVK,R.RAMESH KUMAR,150287,180384,Yes,DMK+,TVK
7,Maduravoyal,Chennai Metro,Tiruvallur,DMK,GANAPATHY.K,TVK,RHEVANTH CHARAN,121298,141725,Yes,DMK+,TVK
8,Ambattur,Chennai Metro,Tiruvallur,DMK,JOSEPH SAMUEL,TVK,BALAMURUGAN.G,114554,133339,Yes,DMK+,TVK
9,Madavaram,Chennai Metro,Tiruvallur,DMK,SUDHARSANAM. S,TVK,M.L.VIJAYPRABHU,151485,190462,Yes,DMK+,TVK
10,Thiruvottiyur,Chennai Metro,Tiruvallur,DMK,K.P.SHANKAR,TVK,SENTHIL KUMAR. N,88185,110067,Yes,DMK+,TVK
11,Dr. Radhakrishnan Nagar,Chennai Metro,Chennai,DMK,EBENEZER. J.J. (@)  JOHN EBENEZER.J,TVK,N. MARIE WILSON,95763,97800,Yes,DMK+,TVK
12,Perambur,Chennai Metro,Chennai,DMK,SHEKAR. R.D,TVK,C. JOSEPH VIJAY,105267,120365,Yes,DMK+,TVK
13,Kolathur,Chennai Metro,Chennai,DMK,M.K. STALIN,TVK,V. S. BABU,105522,82997,Yes,DMK+,TVK
14,Villivakkam,Chennai Metro,Chennai,DMK,A . Vetriazhagan,TVK,AADHAV ARJUNA,76127,66445,Yes,DMK+,TVK
15,Thiru-Vi-Ka-Nagar,Chennai Metro,Chennai,DMK,SIVAKUMAR.P,TVK,M. R. PALLAVI,81727,69125,Yes,DMK+,TVK
16,Egmore,Chennai Metro,Chennai,DMK,I.PARANTHAMEN,TVK,RAJMOHAN,68832,53901,Yes,DMK+,TVK
17,Royapuram,Chennai Metro,Chennai,DMK,MURTHY.R.IDREAM,TVK,K.V. VIJAY DAMU,64424,59091,Yes,DMK+,TVK
18,Harbour,Chennai Metro,Chennai,DMK,SEKARBABU. P.K,DMK,P K SEKARBABU,59317,45254,No,DMK+,DMK+
19,Chepauk-Thiruvallikeni,Chennai Metro,Chennai,DMK,UDHAYANIDHI STALIN,DMK,UDHAYANIDHI STALIN,93285,62992,No,DMK+,DMK+
20,Thousand Lights,Chennai Metro,Chennai,DMK,EZHILAN N,TVK,PRABHAKAR.J.C.D,71867,58965,Yes,DMK+,TVK
21,Anna Nagar,Chennai Metro,Chennai,DMK,M.K. Mohan,TVK,V.K.RAMKUMAR,80054,71375,Yes,DMK+,TVK
