ac_number,constituency,region,party,candidate,winner_votes,total_valid_votes,vote_share_2021
1,Gummidipundi,Chennai Metro,DMK,GOVINDARAJAN T.J,126452,222069,56.94
2,Ponneri,Chennai Metro,INC,DURAI. CHANDRASEKAR,94528,210354,44.94
3,Tiruttani,Chennai Metro,DMK,S.Chandran,120314,232624,51.72
4,Thiruvallur,Chennai Metro,DMK,"RAAJENDRAN, V.G.",107709,214243,50.27
5,Poonamallee,Chennai Metro,DMK,Krishnaswamy A,149578,263736,56.72
6,Avadi,Chennai Metro,DMK,Nasar S M,150287,300927,49.94
7,Maduravoyal,Chennai Metro,DMK,GANAPATHY.K,121298,273870,44.29
8,Ambattur,Chennai Metro,DMK,JOSEPH SAMUEL,114554,240299,47.67
9,Madavaram,Chennai Metro,DMK,SUDHARSANAM. S,151485,302700,50.04
10,Thiruvottiyur,Chennai Metro,DMK,K.P.SHANKAR,88185,199996,44.09
11,Dr. Radhakrishnan Nagar,Chennai Metro,DMK,EBENEZER. J.J. (@)  JOHN EBENEZER.J,95763,187027,51.2
12,Perambur,Chennai Metro,DMK,SHEKAR. R.D,105267,200387,52.53
13,Kolathur,Chennai Metro,DMK,M.K. STALIN,105522,173388,60.86
14,Villivakkam,Chennai Metro,DMK,A . Vetriazhagan,76127,144092,52.83
15,Thiru-Vi-Ka-Nagar,Chennai Metro,DMK,SIVAKUMAR.P,81727,133696,61.13
16,Egmore,Chennai Metro,DMK,I.PARANTHAMEN,68832,119271,57.71
17,Royapuram,Chennai Metro,DMK,MURTHY.R.IDREAM,64424,121191,53.16
18,Harbour,Chennai Metro,DMK,SEKARBABU. P.K,59317,101650,58.35
19,Chepauk-Thiruvallikeni,Chennai Metro,DMK,UDHAYANIDHI STALIN,93285,137405,67.89
20,Thousand Lights,Chennai Metro,DMK,EZHILAN N,71867,135940,52.87
21,Anna Nagar,Chennai Metro,DMK,M.K. Mohan,80054,165096,48.49
22,Virugampakkam,Chennai Metro,DMK,AMV.PRABHAKARA RAJA,74351,169087,43.97
23,Saidapet,Chennai Metro,DMK,SUBRAMANIAN. MA,80194,160327,50.02
24,Theayagaraya Nagar,Chennai Metro,DMK,KARUNANITHI J,56035,138114,40.57
25,Mylapore,Chennai Metro,DMK,VELU.DHA,68392,153430,44.58
26,Velachery,Chennai Metro,INC,JMH.AASSAN MAULAANA,68493,176714,38.76
27,Shozhinganallur,Chennai Metro,DMK,S.ARAVINDRAMESH,171558,388355,44.18
28,Alandur,Chennai Metro,DMK,T.M.Anbarasan,116785,237751,49.12
29,Sriperumbudur,Chennai Metro,INC,SELVAPERUNTHAGAI,115353,264262,43.65
30,Pallavaram,Chennai Metro,DMK,KARUNANITHI,126427,266194,47.49
31,Tambaram,Chennai Metro,DMK,Raja.S.R,116840,248968,46.93
32,Chengalpattu,Chennai Metro,DMK,VARALAKSHMI.M,130573,274087,47.64
33,Thiruporur,North,VCK,S.S.Balaji,93954,226729,41.44
34,Cheyyur,North,VCK,Babu M,82750,179120,46.2
35,Maduranthakam,North,AIADMK,Maragatham. K,86646,185842,46.62
36,Uthiramerur,North,DMK,SUNDAR K,93427,210529,44.38
37,Kancheepuram,North,DMK,C.V.M.P. Ezhailzrasan,102712,229432,44.77
38,Arakonam,North,AIADMK,S.RAVI,85399,171412,49.82
39,Sholinghur,North,INC,A.M.MUNIRATHINAM,110228,224109,49.18
40,Katpadi,North,DMK,DURAIMURUGAN,85140,186246,45.71
41,Ranipet,North,DMK,R.GANDHI,103291,207462,49.79
42,Arcot,North,DMK,J.L.Eswarappan,103885,209791,49.52
43,Vellore,North,DMK,Karthikeyan .P,84299,179899,46.86
44,Anaikattu,North,DMK,A.P.Nandakumar,95159,197805,48.11
45,Kilvaithinankuppam,North,AIADMK,M.JAGAN MOORTHY,84579,174124,48.57
46,Gudiyatham,North,DMK,Amulu.V,100412,211630,47.45
47,Vaniayambadi,North,AIADMK,G.SENDHIL KUMAR,88018,189997,46.33
48,Ambur,North,DMK,VILWANATHAN.A.C,90476,177878,50.86
49,Jolarpet,North,DMK,DEVARAJI.K.,89490,196358,45.57
50,Tiruppattur,North,DMK,A. NALLATHAMBI,96522,185930,51.91
51,Uthangarai,North,AIADMK,T.M.TAMILSELVAM,99675,188223,52.96
52,Bargur,North,DMK,MATHIAZHAGAN D,97256,197784,49.17
53,Krishnagiri,North,AIADMK,Ashokkumar.K,96050,211648,45.38
54,Veppanahalli,North,AIADMK,K.P.Munusamy,94104,205141,45.87
55,Hosur,North,DMK,PRAKAASH Y,118231,248098,47.65
56,Thalli,North,CPI,RAMACHANDRAN.T,120641,194022,62.18
57,Palacode,North,AIADMK,ANBALAGAN.K.P.,110070,206595,53.28
58,Pennagaram,North,PMK,MANI. G.K,106123,210305,50.46
59,Dharmapuri,North,PMK,VENKATESHWARAN.S.P.,105630,217333,48.6
60,Pappireddippatti,North,AIADMK,GOVINDASAMY.A,114507,220994,51.81
61,Harur,North,AIADMK,SAMPATHKUMAR.V,99061,198565,49.89
62,Chengam,North,DMK,GIRI.M.P,108081,223950,48.26
63,Tiruvannamalai,North,DMK,E V VELU,137876,208836,66.02
64,Kilpennathur,North,DMK,K.Pitchandi,104675,203886,51.34
65,Kalasapakkam,North,DMK,Saravanan.P.S.T,94134,196434,47.92
66,Polur,North,AIADMK,Agri KRISHNAMURTHY. S S,97732,202012,48.38
67,Arani,North,AIADMK,S.RAMACHANDRAN,102961,221422,46.5
68,Cheyyar,North,DMK,JOTHI. O,102460,214460,47.78
69,Vandavasi,North,DMK,Ambethkumar S,102064,185974,54.88
70,Gingee,Central,DMK,MASTHAN K S,109625,206880,52.99
71,Mailam,Central,PMK,SIVAKUMAR C,81044,176989,45.79
72,Tindivanam,Central,AIADMK,ARJUNAN P,87152,182538,47.74
73,Vanur,Central,AIADMK,CHAKRAPANI M,92219,182208,50.61
74,Villupuram,Central,DMK,LAKSHMANAN R,102271,204860,49.92
75,Vikravandi,Central,DMK,PUGAZHENTHI N,93730,193617,48.41
76,Tirukkoyilur,Central,DMK,K.PONMUDY,110980,196217,56.56
77,Ulundurpet,Central,DMK,MANIKANNAN A J,115451,244853,47.15
78,Rishivandiam,Central,DMK,KARTHIKEYAN K,113912,215106,52.96
79,Sankarapuram,Central,DMK,UDHAYASURIYAN T,121186,215802,56.16
80,Kallakurichi,Central,AIADMK,Senthilkumar.M,110643,225858,48.99
81,Gangavalli,Central,AIADMK,"NALLATHAMBI,A.",89568,186503,48.02
82,Attur,Central,AIADMK,"JAYASANKARAN, A.P.",95308,199743,47.72
83,Yercaud,Central,AIADMK,G. Chitra,121561,238924,50.88
84,Omalur,Central,AIADMK,R.MANI,142488,249027,57.22
85,Mettur,Central,PMK,SADHASIVAM.S,97055,218442,44.43
86,Edapadi,Central,AIADMK,EDAPPADI PALANISWAMI. K,163154,247301,65.97
87,Sankari,Central,AIADMK,"SUNDARARAJAN, S.",115472,232247,49.72
88,Salem (West),Central,PMK,ARUL. R,105483,216628,48.69
89,Salem (North),Central,DMK,R. RAJENDRAN,93432,202376,46.17
90,Salem (South),Central,AIADMK,E.BALASUBRAMANIAN,97506,199982,48.76
91,Veerapandi,Central,AIADMK,"RAJAMUTHU, M.",111682,223702,49.92
92,Rasipuram,Central,DMK,MATHIVENTHAN M,90727,196904,46.08
93,Sendamangalam,Central,DMK,PONNUSAMY K,90681,199235,45.51
94,Namakkal,Central,DMK,RAMALINGAM P,106494,206759,51.51
95,Paramathi-Velur,Central,AIADMK,SEKAR S,86034,183697,46.83
96,Tiruchengode,Central,DMK,ESWARAN E R,81688,184669,44.23
97,Kumarapalayam,Central,AIADMK,THANGAMANI.P,100800,201925,49.92
98,Erode (East),Kongu,INC,"THIRUMAHAN EVERAA,E.",67300,152037,44.27
99,Erode (West),Kongu,DMK,Muthusamy S,100757,205579,49.01
100,Modakurichi,Kongu,BJP,SARASWATHI.C,78125,181857,42.96
101,Dharapuram,Kongu,DMK,KAYALVIZHI N,89986,193991,46.39
102,Kangayam,Kongu,DMK,SAMINATHAN.M.P,94197,199818,47.14
103,Perundurai,Kongu,AIADMK,"JAYAKUMAR, S.",85125,189843,44.84
104,Bhavani,Kongu,AIADMK,KARUPPANAN.K.C,100915,201385,50.11
105,Anthiyur,Kongu,DMK,VENKATACHALAM.A.G,79096,176385,44.84
106,Gobichettipalayam,Kongu,AIADMK,SENGOTTAIYAN K.A,108608,214281,50.68
107,Bhavanisagar,Kongu,AIADMK,A.Bannari,99181,200567,49.45
108,Udhagamandalam,Kongu,INC,"GANESH, R.",65530,141102,46.44
109,Gudalur,Kongu,AIADMK,PON.JAYASEELAN,64496,138257,46.65
110,Coonoor,Kongu,DMK,"Ramachandran, K.",61820,135908,45.49
111,Mettupalayam,Kongu,AIADMK,SELVARAJ A K,105231,225083,46.75
112,Avanashi,Kongu,AIADMK,"DHANAPAL, P",117284,212627,55.16
113,Tiruppur (North),Kongu,AIADMK,VIJEYAKUMAR.K.N,113384,238092,47.62
114,Tiruppur (South),Kongu,DMK,SELVARAJ. K.,75535,174418,43.31
115,Palladam,Kongu,AIADMK,ANANDAN M S M,126903,261511,48.53
116,Sulur,Kongu,AIADMK,KANDASAMY V.P.,118968,241653,49.23
117,Kavundampalayam,Kongu,AIADMK,G.Arunkumar,135669,309918,43.78
118,Coimbatore North,Kongu,AIADMK,AMMAN K.ARJUNAN,81454,202799,40.16
119,Thondamuthur,Kongu,AIADMK,S.P. VELUMANI,124225,230531,53.89
120,Coimbatore South,Kongu,BJP,VANATHI SRINIVASAN,53209,154765,34.38
121,Singanallur,Kongu,AIADMK,"Jayaram, K.R",81244,202021,40.22
122,Kinathukadavu,Kongu,AIADMK,Damodaran.S,101537,232435,43.68
123,Pollachi,Kongu,AIADMK,Pollachi V. Jayaraman,80567,177308,45.44
124,Valparai,Kongu,AIADMK,AMULKANDASAMI T K,71672,145172,49.37
125,Udumalpet,Kongu,AIADMK,"Radhakrishnan,K.",96893,194358,49.85
126,Madathukulam,Kongu,AIADMK,C MAHENDRAN,84313,181902,46.35
127,Palani,South,DMK,SENTHIL KUMAR I.P,108566,205384,52.86
128,Oddanchatram,South,DMK,SAKKARAPANI R,109970,201756,54.51
129,Athoor,South,DMK,PERIYASAMY I,165809,229940,72.11
130,Nilakottai,South,AIADMK,S.Thenmozhi,91461,184805,49.49
131,Natham,South,AIADMK,NATHAM.R.VISWANATHAN,107762,225244,47.84
132,Dindigul,South,AIADMK,SREENIVASAN.C,90595,195118,46.43
133,Vedasandur,South,DMK,GANDHIRAJAN S,106481,213080,49.97
134,Aravakurichi,Kongu,DMK,ELANGO. R,93369,177114,52.72
135,Karur,Kongu,DMK,SENTHILBALAJI V,101757,207310,49.08
136,Krishnarayapuram,Kongu,DMK,SIVAGAMA SUNDARI.K,96540,180902,53.37
137,Kulithalai,Kongu,DMK,R.Manickam,100829,197456,51.06
138,Manapparai,Delta,DMK,ABDUL SAMAD P,98077,221748,44.23
139,Srirangam,Delta,DMK,Palaniyandi.M,113904,240240,47.41
140,Tiruchirapalli (West),Delta,DMK,"Nehru, K.N.",118133,183099,64.52
141,Tiruchirapalli (East),Delta,DMK,"INIGO IRUDAYARAJ,S.",94302,172856,54.56
142,Thiruverambur,Delta,DMK,ANBIL MAHESH POYYAMOZHI,105424,197013,53.51
143,Lalgudi,Delta,DMK,A.SOUNDARAPANDIAN,84914,174754,48.59
144,Manachanallur,Delta,DMK,S. KATHIRAVAN,116334,196719,59.14
145,Musiri,Delta,DMK,N. Thiyagarajan,90624,179706,50.43
146,Thuraiyur,Delta,DMK,S.STALINKUMAR,87786,175876,49.91
147,Perambalur,Central,DMK,"PRABHAHARAN, M.",122090,240026,50.87
148,Kunnam,Central,DMK,"SIVASANKAR, S.S.",103922,219879,47.26
149,Ariyalur,Central,DMK,CHINNAPPA K,103975,225225,46.16
150,Jayankondam,Central,DMK,KANNAN KA SO KA,99529,216368,46.0
151,Tittakudi,Central,DMK,"GANESAN,  C.V.",83726,168184,49.78
152,Vriddhachalam,Central,INC,Radhakrishnan,77064,196734,39.17
153,Neyveli,Central,DMK,SABA.RAJENDRAN,75177,164130,45.8
154,Panruti,Central,DMK,VELMURUGAN.T,93801,197049,47.6
155,Cuddalore,Central,DMK,G.IYAPPAN,84563,182001,46.46
156,Kurinjipadi,Central,DMK,M.R.K.PANNEERSELVAM,101456,198781,51.04
157,Bhuvanagiri,Central,AIADMK,Arunmozhithevan. A,96453,197165,48.92
158,Chidambaram,Central,AIADMK,K.A. PANDIAN,91961,183352,50.16
159,Kattumannarkoil,Central,VCK,SINTHANAI SELVAN,86056,175561,49.02
160,Sirkali,Delta,DMK,PANNEERSELVAM,94057,191325,49.16
161,Mayiladuthurai,Delta,INC,Rajakumar.S,73642,174640,42.17
162,Poompuhar,Delta,DMK,Nivedha M. Murugan,96102,207838,46.24
163,Nagapattinam,Delta,VCK,J. Mohamed Shanavas,66281,143560,46.17
164,Kilvelur,Delta,CPI(M),NAGAIMAALI V P,67988,142995,47.55
165,Vedaranyam,Delta,AIADMK,O.S.MANIAN,78719,158060,49.8
166,Thiruthuraipundi,Delta,CPI,MARIMUTHU K,97092,185886,52.23
167,Mannargudi,Delta,DMK,RAJAA T R B,87172,193229,45.11
168,Thiruvarur,Delta,DMK,KALAIVANAN  POONDI  K.,108906,208290,52.29
169,Nannilam,Delta,AIADMK,KAMARAJ R,103637,221944,46.7
170,Thiruvidamarudur,Delta,DMK,"CHEZHIAAN,  GOVI.",95763,198446,48.26
171,Kumbakonam,Delta,DMK,"ANBALAGAN, G.",96057,197564,48.62
172,Papanasam,Delta,DMK,"Dr.JAWAHIRULLAH, M.H.",86567,196982,43.95
173,Thiruvaiyaru,Delta,DMK,DURAI.CHANDRASEKARAN,103210,211430,48.82
174,Thanjavur,Delta,DMK,"NEELAMEGAM, T.K.G.",103772,194859,53.25
175,Orathanad,Delta,AIADMK,"VAITHILINGAM, R.",90063,191840,46.95
176,Pattukkottai,Delta,DMK,"ANNADURAI, K.",79065,177200,44.62
177,Peravurani,Delta,DMK,"ASHOKKUMAR, N.",89130,170850,52.17
178,Gandharvakottai,Delta,CPI(M),M.Chinnadurai,69710,157620,44.23
179,Viralimalai,Delta,AIADMK,VIJAYA BASKER C,102179,193423,52.83
180,Pudukkottai,Delta,DMK,V . MUTHURAJA,85802,179892,47.7
181,Thirumayam,Delta,DMK,S.REGUPATHY,71349,174031,41.0
182,Alangudi,Delta,DMK,SIVA.V.MEYYANATHAN,87935,171842,51.17
183,Arantangi,Delta,INC,RAMACHANDRAN T,81835,168048,48.7
184,Karaikudi,South,INC,S.Mangudi,75954,212456,35.75
185,Tiruppattur,South,DMK,KR.PERIYAKARUPPAN,103682,210766,49.19
186,Sivaganga,South,AIADMK,PR. Senthilnathan,82153,202044,40.66
187,Manamadurai,South,DMK,Tamilarasi A.,89364,203061,44.01
188,Melur,South,AIADMK,PERIYAPULLAN @ SELVAM  P.,83344,182782,45.6
189,Madurai East,South,DMK,MOORTHY P,122729,237892,51.59
190,Sholavandan,South,DMK,VENKATESAN A,84240,175361,48.04
191,Madurai North,South,DMK,THALAPATHI G,73010,156556,46.64
192,Madurai South,South,DMK,BOOMINATHAN.M,62812,147833,42.49
193,Madurai Central,South,DMK,PALANIVEL THIAGA RAJAN,73205,149430,48.99
194,Madurai West,South,AIADMK,RAJU. K,83883,201694,41.59
195,Thiruparankundram,South,AIADMK,"RAJANCHELLAPPA, V.V.",103683,235849,43.96
196,Thirumangalam,South,AIADMK,UDHAYAKUMAR R B,100338,220495,45.51
197,Usilampatti,South,AIADMK,AYYAPPAN P,71255,212513,33.53
198,Andipatti,South,DMK,A.MAHARAJAN,93541,209540,44.64
199,Periyakulam,South,DMK,K.S.SARAVANAKUMAAR,92251,201797,45.71
200,Bodinayakanur,South,AIADMK,O.PANNEERSELVAM,100050,214795,46.58
201,Cumbum,South,DMK,N.Ramakrishnan,104800,202275,51.81
202,Rajapalayam,South,DMK,THANGAPANDIAN S.,74158,178708,41.5
203,Srivilliputhur,South,AIADMK,"MANRAJ, E.M.",70475,185039,38.09
